Kata,Frekuensi
kayaknya,17
dijadikan,17
lakukan,17
sekelas,17
lahir,17
lo,17
bahas,17
reformasi,17
menguasai,17
sengaja,17
betapa,17
angkat,17
kecuali,17
kawal,17
menjaga,17
diganti,17
film,17
milik,17
trilyun,17
usaha,17
kelompok,17
teman,17
untung,17
pulau,17
pendidikan,17
bohong,17
kembalikan,17
terbaik,17
membiarkan,17
dirman,17
harapan,17
musuh,17
ketemu,16
ketangkap,16
megawati,16
berpikir,16
nangkep,16
alasan,16
aceh,16
kau,16
neraka,16
pulang,16
kholid,16
sungguh,16
suap,16
merah,16
kotor,16
terkait,16
publik,16
beserta,16
harap,16
fakta,16
secepatnya,16
diluar,16
khusus,16
up,16
kawan,16
jadikan,16
menutupi,16
benderang,16
akibat,16
cs,16
kerusuhan,16
berhenti,16
memiliki,16
esdm,16
langkah,16
mendengar,16
palsu,16
munafik,16
loh,15
ok,15
lari,15
sukses,15
dosa,15
silvester,15
uangnya,15
timur,15
hitam,15
sosok,15
membela,15
pendukung,15
data,15
pantesan,15
perampok,15
habib,15
berjalan,15
periksa,15
intinya,15
pandang,15
bulu,15
sigit,15
tanggung,15
permainan,15
suharto,15
lepas,15
r,15
demokrasi,15
urusan,15
perubahan,15
kampanye,15
pemberantasan,15
bidang,15
keras,15
terhormat,14
militer,14
perang,14
bangkrut,14
ribuan,14
eksekusi,14
alias,14
darah,14
hak,14
licin,14
dipenjara,14
disahkan,14
ah,14
menghukum,14
bobrok,14
heran,14
putih,14
pekerjaan,14
vs,14
tim,14
pahlawan,14
menerima,14
generasi,14
dikorupsi,14
akarnya,14
komisi,14
buruk,14
kesimpulan,14
duduk,14
menyimak,14
batu,14
bismillah,14
kiri,14
tidur,14
yra,14
berusaha,14
village,14
cucu,13
gampang,13
posisi,13
mikir,13
kaki,13
ujung,13
titik,13
tingkat,13
hasilnya,13
rupiah,13
cina,13
dimiskinkan,13
pdip,13
sentuh,13
gede,13
lu,13
petinggi,13
bandit,13
utara,13
pura,13
menyelesaikan,13
damai,13
sengsara,13
gaduh,13
beres,13
wowo,13
didu,13
indak,13
ha,13
lapangan,13
cinta,13
isinya,13
panglima,13
tergantung,13
tua,13
didunia,13
belanda,13
bahaya,13
lini,13
ijazah,13
dipakai,13
mulia,13
tukang,13
setoran,13
kanan,13
banteng,13
suara,13
rusaknya,13
muda,13
pikir,13
lurus,13
mavia,13
lingkaran,13
calon,13
jokowie,13
membasmi,13
bubar,13
disita,12
mending,12
hukumannya,12
gua,12
kelak,12
iblis,12
utama,12
air,12
dibiarkan,12
ketangkep,12
mrc,12
lbp,12
duitnya,12
istana,12
mendukungmu,12
pendapatan,12
swasta,12
fee,12
masarakat,12
buah,12
model,12
efek,12
dikit,12
pusat,12
apbn,12
bowo,12
didalam,12
mulut,12
emas,12
wo,12
ahli,12
penjabat,12
nasional,12
terbongkar,12
puluhan,12
sesungguhnya,12
produk,12
tindak,12
jaga,12
mengerti,12
pro,12
presidennya,12
sekolah,12
dipercaya,12
jiwa,12
resiko,12
sampah,12
menko,12
gerung,12
dipimpin,12
mencintai,12
dukungan,12
judol,12
peran,12
menyerang,12
benci,12
justice,12
gelap,12
